District,Month,Rainfall (mm),Temperature (°C),Humidity (%),Year
Rajanna Sircilla,April,14.95,42.1,88.0,2015
Karimnagar,November,18.04,25.4,65.0,2020
Rajanna Sircilla,September,138.12,44.1,86.0,2016
Karimnagar,February,8.3,42.9,67.0,2022
Jogulamba Gadwal,October,89.34,33.2,69.0,2019
Kumurambheem Asifabad,May,30.78,28.9,76.0,2016
Nirmal,December,3.05,26.9,33.0,2024
Mancherial,March,9.17,30.9,49.0,2015
Siddipet,November,16.6,31.1,36.0,2016
Mahabubnagar,October,90.15,27.4,36.0,2016
Hyderabad,June,119.34,22.2,95.0,2018
Rangareddy,July,197.64,24.5,67.0,2021
Nalgonda,October,93.75,15.7,37.0,2015
Nirmal,December,11.39,42.6,27.0,2022
Hanamkonda,May,31.46,43.9,51.0,2020
Jogulamba Gadwal,July,192.37,16.7,54.0,2022
Vikarabad,January,6.8,38.4,88.0,2024
Jagtial,June,118.84,44.5,84.0,2023
Khammam,January,2.04,23.6,57.0,2025
Nirmal,September,139.29,39.3,98.0,2019
Rangareddy,September,132.64,41.9,65.0,2017
Medak,May,29.95,19.3,60.0,2020
Nirmal,August,189.47,23.9,50.0,2022
Nagarkurnool,September,135.44,35.3,65.0,2016
Kumurambheem Asifabad,June,118.57,34.1,67.0,2021
Nizamabad,May,29.85,25.9,42.0,2024
Kamareddy,April,18.99,42.7,77.0,2018
Hanamkonda,September,138.13,15.5,49.0,2019
Mulugu,October,93.48,41.9,28.0,2022
Vikarabad,January,8.51,27.7,28.0,2016
Mahabubnagar,February,6.33,25.7,53.0,2018
Nirmal,October,91.45,30.8,87.0,2018
Sangareddy,February,4.79,22.9,64.0,2022
Nagarkurnool,September,133.98,32.3,55.0,2020
Mahabubnagar,May,30.19,29.6,30.0,2016
Wanaparthy,May,33.23,28.7,94.0,2024
Kumurambheem Asifabad,October,94.3,27.6,55.0,2025
Wanaparthy,February,4.31,15.5,80.0,2020
Karimnagar,August,190.3,41.3,38.0,2021
Wanaparthy,September,138.99,32.5,72.0,2025
Karimnagar,January,5.91,27.1,33.0,2018
Karimnagar,August,189.02,34.5,45.0,2019
Rangareddy,June,118.49,16.8,23.0,2024
Medak,June,119.02,24.4,46.0,2018
Wanaparthy,July,191.93,41.9,36.0,2015
Jogulamba Gadwal,June,114.53,44.8,65.0,2016
Rajanna Sircilla,April,18.32,36.7,100.0,2018
Rajanna Sircilla,April,20.06,42.7,38.0,2019
Hyderabad,March,11.96,20.4,91.0,2018
Nizamabad,October,90.07,27.1,34.0,2015
Kumurambheem Asifabad,May,30.19,34.0,83.0,2021
Yadadri Bhuvanagiri,August,191.89,22.0,60.0,2015
Mahabubnagar,February,10.14,25.7,78.0,2016
Jagtial,June,120.61,36.9,35.0,2025
Jagtial,June,120.47,36.0,45.0,2015
Jogulamba Gadwal,April,15.12,24.6,44.0,2020
Mulugu,December,2.9,34.9,64.0,2015
Mahabubabad,December,4.74,31.1,85.0,2017
Mulugu,December,2.74,25.1,75.0,2024
Siddipet,December,3.5,25.2,42.0,2015
Nalgonda,December,5.34,39.2,32.0,2018
Siddipet,October,95.7,26.5,24.0,2021
Mancherial,October,89.53,15.8,80.0,2024
Nalgonda,October,96.5,43.6,63.0,2019
Jagtial,May,28.68,38.8,39.0,2019
Sangareddy,February,9.12,39.8,52.0,2017
Mahabubnagar,August,192.95,18.7,94.0,2025
Nalgonda,October,94.41,42.0,23.0,2020
Nizamabad,August,191.81,16.9,48.0,2020
Khammam,November,14.33,32.0,40.0,2017
Mahabubabad,May,27.36,20.5,74.0,2015
Mulugu,October,92.03,22.5,91.0,2017
Mulugu,December,5.89,18.7,32.0,2024
Hanamkonda,November,18.43,24.0,59.0,2023
Kumurambheem Asifabad,October,91.94,28.1,58.0,2020
Rangareddy,November,21.68,22.2,31.0,2022
Khammam,May,31.5,28.0,31.0,2021
Mulugu,April,20.08,33.0,56.0,2022
Khammam,February,6.86,19.8,63.0,2019
Hyderabad,August,191.23,15.9,73.0,2017
Rangareddy,February,3.57,32.2,63.0,2019
Wanaparthy,May,30.96,22.4,51.0,2021
Adilabad,February,2.27,15.4,61.0,2015
Nalgonda,June,122.14,21.3,41.0,2020
Jagtial,February,8.44,29.1,29.0,2024
Rangareddy,August,189.0,27.8,66.0,2025
Jagtial,September,136.64,43.8,40.0,2022
Peddapalli,August,193.21,31.5,73.0,2019
Nirmal,October,93.04,15.7,49.0,2018
Mahabubabad,August,189.59,44.0,44.0,2020
Karimnagar,August,187.48,25.7,22.0,2018
Suryapet,November,15.68,27.5,74.0,2018
Yadadri Bhuvanagiri,July,193.63,22.2,69.0,2024
Suryapet,November,19.64,30.4,94.0,2024
Hanamkonda,October,90.56,22.3,54.0,2019
Sangareddy,January,7.66,27.4,66.0,2016
Vikarabad,September,138.57,21.1,93.0,2018
Medak,February,7.5,29.5,83.0,2022
Hanamkonda,September,137.95,42.3,65.0,2022
Mancherial,November,18.59,28.7,77.0,2020
Peddapalli,February,5.24,33.2,42.0,2017
Rangareddy,April,19.36,19.1,52.0,2025
Rajanna Sircilla,May,32.31,34.5,84.0,2021
Karimnagar,April,19.12,17.8,90.0,2024
Medak,August,187.6,16.2,91.0,2023
Rangareddy,April,17.27,32.3,59.0,2015
Vikarabad,July,193.3,38.1,36.0,2023
Jogulamba Gadwal,March,12.25,26.1,98.0,2021
Mulugu,April,17.09,41.7,69.0,2022
Khammam,April,14.0,40.3,52.0,2023
Rajanna Sircilla,September,138.66,21.9,76.0,2017
Jogulamba Gadwal,August,191.0,41.5,29.0,2019
Rajanna Sircilla,January,6.73,20.0,39.0,2019
Vikarabad,January,4.53,28.1,66.0,2024
Yadadri Bhuvanagiri,April,20.49,22.3,74.0,2023
Khammam,April,17.14,38.3,97.0,2021
Mancherial,September,137.76,29.2,71.0,2018
Mahabubnagar,November,19.17,21.1,75.0,2015
Kamareddy,April,19.87,16.8,93.0,2017
Rangareddy,December,9.97,22.9,29.0,2017
Peddapalli,August,192.36,20.7,29.0,2019
Nagarkurnool,May,29.87,35.0,93.0,2025
Vikarabad,May,30.88,16.0,20.0,2025
Rajanna Sircilla,October,93.76,41.0,35.0,2019
Medak,October,90.26,38.8,61.0,2020
Peddapalli,October,89.28,26.5,74.0,2017
Karimnagar,June,116.88,31.6,83.0,2024
Rajanna Sircilla,February,10.57,17.2,33.0,2017
Vikarabad,August,192.84,38.1,84.0,2024
Medak,November,17.52,23.4,20.0,2020
Adilabad,March,14.22,27.3,57.0,2023
Vikarabad,June,119.84,22.0,40.0,2017
Jagtial,February,10.54,27.0,20.0,2017
Hyderabad,April,17.53,38.6,39.0,2022
Karimnagar,May,28.83,26.7,90.0,2023
Siddipet,December,5.12,40.3,44.0,2018
Hanamkonda,February,6.92,40.4,42.0,2020
Peddapalli,January,9.6,21.8,80.0,2019
Sangareddy,January,5.89,43.4,20.0,2021
Peddapalli,April,17.55,43.7,56.0,2015
Nalgonda,August,194.86,25.9,71.0,2017
Rajanna Sircilla,April,16.58,25.5,51.0,2015
Mahabubabad,September,135.68,33.6,92.0,2015
Kumurambheem Asifabad,November,18.69,28.4,31.0,2020
Hanamkonda,July,192.36,21.4,23.0,2015
Mancherial,March,14.95,17.7,70.0,2015
Wanaparthy,September,134.67,15.9,67.0,2024
Rajanna Sircilla,September,135.78,16.1,96.0,2024
Peddapalli,April,21.19,18.0,23.0,2021
Wanaparthy,June,118.9,41.0,85.0,2017
Kumurambheem Asifabad,June,122.94,36.0,76.0,2020
Mulugu,May,32.24,22.9,20.0,2017
Nirmal,May,30.61,30.5,94.0,2017
Mulugu,January,4.98,25.7,30.0,2025
Sangareddy,January,12.09,26.4,69.0,2015
Jogulamba Gadwal,August,191.39,27.4,90.0,2016
Peddapalli,January,8.6,34.6,74.0,2015
Mancherial,May,31.3,38.3,42.0,2023
Nizamabad,January,9.24,31.3,81.0,2020
Vikarabad,November,21.46,24.9,29.0,2023
Rajanna Sircilla,April,17.72,43.0,78.0,2023
Mancherial,July,194.13,28.7,20.0,2018
Peddapalli,May,34.26,15.6,35.0,2024
Khammam,July,191.0,31.3,94.0,2024
Hyderabad,October,93.47,36.8,37.0,2025
Kumurambheem Asifabad,March,11.94,30.7,72.0,2015
Medak,August,189.05,40.9,89.0,2016
Rangareddy,September,137.95,42.7,46.0,2021
Kamareddy,July,194.86,20.9,81.0,2025
Medak,June,118.22,33.1,53.0,2016
Nagarkurnool,June,119.93,36.5,41.0,2024
Khammam,June,117.2,16.7,86.0,2020
Adilabad,December,7.84,34.9,59.0,2022
Nizamabad,April,16.07,19.1,67.0,2019
Nirmal,July,193.22,32.5,44.0,2023
Karimnagar,December,8.15,32.0,81.0,2016
Kamareddy,March,15.25,21.8,95.0,2018
Adilabad,September,138.96,39.8,52.0,2023
Kamareddy,June,121.75,21.2,53.0,2017
Kamareddy,November,20.15,19.1,66.0,2025
Mulugu,July,196.13,15.5,80.0,2021
Khammam,March,15.44,27.2,89.0,2016
Yadadri Bhuvanagiri,November,16.76,32.0,40.0,2023
Khammam,August,188.07,17.4,82.0,2024
Kamareddy,August,192.82,21.0,36.0,2025
Wanaparthy,July,190.12,32.5,100.0,2016
Kamareddy,November,17.72,39.5,34.0,2020
Wanaparthy,January,6.93,33.2,70.0,2020
Adilabad,March,15.06,38.5,22.0,2025
Mancherial,July,192.53,22.6,100.0,2018
Khammam,October,93.04,23.9,85.0,2019
Rajanna Sircilla,February,7.85,17.3,20.0,2021
Jagtial,May,32.36,25.2,78.0,2024
Mulugu,January,6.25,24.4,27.0,2025
Nagarkurnool,October,89.51,44.8,76.0,2022
Suryapet,December,6.37,39.2,47.0,2017
Hyderabad,January,5.22,19.9,30.0,2017
Vikarabad,October,91.6,36.5,51.0,2023
Rangareddy,May,29.51,42.4,67.0,2025
Rajanna Sircilla,June,120.7,34.7,63.0,2025
Peddapalli,July,190.78,29.6,64.0,2017
Nagarkurnool,July,190.5,32.7,29.0,2018
Karimnagar,February,6.44,32.9,93.0,2023
Adilabad,September,134.64,28.4,93.0,2016
Sangareddy,June,115.65,21.3,38.0,2017
Jagtial,June,117.12,17.0,53.0,2025
Mahabubabad,March,15.48,19.7,99.0,2025
Hanamkonda,June,120.32,27.7,29.0,2022
Rangareddy,February,8.48,16.4,82.0,2022
Rangareddy,March,15.73,40.2,21.0,2015
Nagarkurnool,April,15.71,24.2,72.0,2021
Siddipet,October,95.2,23.1,96.0,2025
Nirmal,May,33.38,23.2,20.0,2021
Nalgonda,June,122.7,16.3,55.0,2015
Kamareddy,November,19.28,33.5,65.0,2021
Hyderabad,November,15.88,26.0,69.0,2015
Siddipet,July,191.6,28.5,21.0,2016
Mahabubabad,August,188.22,41.7,42.0,2022
Jagtial,July,192.88,39.2,21.0,2023
Mahabubabad,December,5.29,38.8,63.0,2024
Medak,January,10.0,44.8,42.0,2015
Mancherial,October,91.77,34.7,82.0,2024
Khammam,September,137.24,29.2,89.0,2015
Khammam,January,8.04,44.3,97.0,2018
Peddapalli,June,117.46,26.3,61.0,2017
Nizamabad,October,89.6,21.2,32.0,2023
Peddapalli,August,191.59,34.3,22.0,2016
Kamareddy,January,7.33,26.7,41.0,2015
Rangareddy,April,17.31,17.4,39.0,2023
Nagarkurnool,September,139.1,40.1,85.0,2015
Karimnagar,February,7.7,26.1,100.0,2016
Medak,November,20.9,21.6,94.0,2024
Mancherial,May,29.77,41.0,49.0,2020
Rangareddy,May,28.72,26.3,50.0,2015
Yadadri Bhuvanagiri,October,91.34,38.5,99.0,2024
Yadadri Bhuvanagiri,August,189.79,20.0,92.0,2019
Mahabubabad,November,19.59,31.0,82.0,2023
Peddapalli,June,117.09,23.0,49.0,2019
Mulugu,June,120.6,26.2,87.0,2022
Hanamkonda,May,32.39,23.2,62.0,2017
Suryapet,December,3.38,36.2,73.0,2017
Wanaparthy,April,19.61,20.5,64.0,2019
Rajanna Sircilla,September,140.55,29.8,63.0,2020
Wanaparthy,February,4.16,33.4,98.0,2021
Wanaparthy,November,21.29,23.8,47.0,2022
Jogulamba Gadwal,October,90.3,33.4,26.0,2015
Nagarkurnool,July,194.12,31.7,68.0,2021
Nagarkurnool,December,5.98,19.7,81.0,2021
Vikarabad,October,91.09,21.4,100.0,2020
Jogulamba Gadwal,December,4.07,38.3,92.0,2021
Mahabubnagar,August,191.81,37.9,72.0,2020
Wanaparthy,April,18.79,28.1,34.0,2019
Peddapalli,August,191.06,43.6,86.0,2015
Yadadri Bhuvanagiri,July,192.75,17.6,28.0,2022
Hyderabad,February,10.39,38.1,53.0,2024
Sangareddy,August,191.56,25.8,80.0,2016
Kumurambheem Asifabad,December,2.23,20.4,89.0,2023
Mahabubabad,March,16.68,43.5,90.0,2021
Hyderabad,May,28.51,27.3,86.0,2021
Jogulamba Gadwal,June,115.65,28.3,37.0,2017
Siddipet,January,7.99,26.0,60.0,2016
Mahabubnagar,September,134.89,29.4,55.0,2024
Siddipet,December,5.95,16.3,36.0,2023
Nalgonda,March,15.84,39.2,83.0,2023
Adilabad,May,35.57,29.0,77.0,2022
Mancherial,January,6.57,30.6,91.0,2022
Suryapet,January,8.85,31.1,71.0,2018
Suryapet,April,22.71,38.5,100.0,2024
Nizamabad,March,17.66,15.7,58.0,2015
Medak,February,5.01,21.0,82.0,2016
Hyderabad,January,7.51,44.9,92.0,2022
Mulugu,September,139.25,22.8,32.0,2018
Hyderabad,March,16.42,22.8,55.0,2018
Wanaparthy,April,19.04,31.0,46.0,2025
Adilabad,March,10.14,29.9,87.0,2021
Nagarkurnool,February,5.93,37.9,74.0,2016
Rangareddy,August,190.51,24.6,90.0,2019
Peddapalli,September,133.15,19.1,100.0,2021
Nizamabad,November,16.37,18.8,68.0,2025
Wanaparthy,September,138.02,35.0,39.0,2017
Jagtial,October,94.74,41.8,31.0,2022
Peddapalli,June,117.53,44.5,81.0,2015
Peddapalli,June,115.84,30.9,86.0,2017
Yadadri Bhuvanagiri,September,134.55,40.7,31.0,2023
Yadadri Bhuvanagiri,February,5.05,21.5,92.0,2016
Jogulamba Gadwal,January,9.26,35.5,59.0,2023
Jogulamba Gadwal,April,17.87,44.2,48.0,2023
Wanaparthy,April,19.66,25.2,20.0,2017
Siddipet,March,13.63,24.9,52.0,2025
Mancherial,June,117.12,19.8,23.0,2020
Nagarkurnool,February,7.92,19.6,68.0,2025
Karimnagar,January,7.2,19.3,44.0,2018
Jagtial,December,5.69,27.9,63.0,2023
Wanaparthy,March,12.23,38.1,30.0,2023
Hyderabad,May,28.67,20.6,55.0,2017
Yadadri Bhuvanagiri,November,16.88,34.6,78.0,2017
Kumurambheem Asifabad,March,12.73,17.8,74.0,2017
Medak,October,91.16,37.6,93.0,2017
Yadadri Bhuvanagiri,June,119.76,34.1,62.0,2022
Siddipet,November,18.98,42.7,56.0,2019
Rajanna Sircilla,February,4.0,35.1,41.0,2022
Nirmal,August,189.16,30.8,82.0,2022
Sangareddy,February,6.17,21.1,81.0,2020
Hanamkonda,October,93.94,20.6,75.0,2023
Suryapet,October,94.11,34.0,69.0,2018
Kumurambheem Asifabad,May,32.4,45.0,67.0,2020
Kamareddy,May,29.05,23.7,33.0,2015
Yadadri Bhuvanagiri,June,116.3,40.0,24.0,2022
Kamareddy,November,19.73,32.2,31.0,2024
Mahabubabad,April,22.13,23.9,32.0,2021
Kamareddy,December,7.23,43.0,52.0,2015
Hanamkonda,January,6.3,21.3,55.0,2023
Sangareddy,September,138.76,16.5,83.0,2024
Hanamkonda,May,30.93,36.9,33.0,2023
Mahabubabad,October,92.05,18.1,95.0,2024
Jogulamba Gadwal,September,137.9,39.4,36.0,2024
Jagtial,January,6.94,42.9,21.0,2018
Adilabad,July,192.09,33.6,43.0,2018
Khammam,June,116.69,16.8,96.0,2022
Adilabad,November,19.74,22.1,93.0,2022
Hanamkonda,August,189.61,41.2,93.0,2025
Hyderabad,January,9.42,17.6,31.0,2023
Mancherial,October,90.67,29.8,23.0,2018
Hyderabad,August,193.32,42.6,29.0,2017
Hanamkonda,July,186.93,40.0,84.0,2019
Rangareddy,November,21.67,42.8,49.0,2024
Karimnagar,July,188.73,38.4,66.0,2019
Wanaparthy,August,191.36,19.5,73.0,2017
Suryapet,July,191.73,37.4,80.0,2022
Nirmal,May,33.47,41.0,32.0,2018
Rajanna Sircilla,May,29.84,33.8,29.0,2024
Hanamkonda,July,191.73,34.9,89.0,2023
Karimnagar,June,117.58,15.3,63.0,2025
Sangareddy,June,117.88,30.9,73.0,2020
Siddipet,March,14.18,25.3,49.0,2023
Medak,March,15.34,40.6,80.0,2019
Nizamabad,October,91.58,22.7,49.0,2024
Kumurambheem Asifabad,September,134.27,33.2,87.0,2019
Vikarabad,January,7.29,42.6,63.0,2019
Khammam,June,116.07,19.5,41.0,2022
Siddipet,January,11.86,32.7,80.0,2016
Nagarkurnool,April,20.7,17.1,70.0,2018
Mahabubabad,October,91.6,40.4,57.0,2017
Hyderabad,May,27.49,39.3,96.0,2021
Karimnagar,October,92.35,30.2,51.0,2022
Adilabad,January,7.71,39.2,57.0,2020
Nirmal,May,30.45,23.9,78.0,2022
Hyderabad,September,134.79,43.4,76.0,2018
Adilabad,July,194.64,40.0,29.0,2015
Rangareddy,August,189.98,19.2,70.0,2019
Jagtial,February,6.17,42.9,28.0,2024
Nizamabad,April,17.74,32.5,55.0,2021
Adilabad,December,8.04,22.4,48.0,2018
Peddapalli,January,8.93,44.7,98.0,2023
Jogulamba Gadwal,October,95.79,23.8,54.0,2025
Karimnagar,August,189.38,43.2,52.0,2017
Nagarkurnool,January,5.71,18.8,52.0,2021
Mulugu,April,17.78,26.5,41.0,2021
Siddipet,July,195.02,43.7,78.0,2022
Khammam,July,190.04,27.5,51.0,2016
Suryapet,August,190.44,20.0,80.0,2020
Nagarkurnool,April,17.45,41.3,63.0,2023
Karimnagar,October,95.17,29.5,31.0,2024
Khammam,May,26.5,43.0,85.0,2022
Nagarkurnool,December,4.59,41.6,40.0,2019
Medak,March,14.41,44.5,79.0,2017
Nalgonda,February,8.07,35.1,26.0,2015
Nizamabad,December,2.51,29.7,24.0,2021
Nalgonda,January,7.79,38.3,84.0,2016
Kumurambheem Asifabad,July,191.9,17.2,27.0,2025
Jagtial,January,12.21,21.3,89.0,2025
Sangareddy,August,185.26,17.7,91.0,2022
Hyderabad,July,186.69,25.9,25.0,2020
Siddipet,April,16.43,23.0,62.0,2021
Mahabubabad,May,31.59,22.0,49.0,2018
Suryapet,September,138.65,22.8,32.0,2015
Peddapalli,April,18.55,34.2,78.0,2017
Medak,July,193.27,26.7,68.0,2024
Mancherial,March,13.54,26.0,100.0,2021
Karimnagar,June,119.21,37.8,70.0,2024
Kamareddy,November,21.02,38.5,46.0,2023
Medak,July,192.31,22.3,64.0,2018
Nalgonda,October,92.77,36.0,42.0,2020
Medak,October,92.04,31.6,31.0,2021
Mancherial,July,189.61,22.1,63.0,2025
Adilabad,June,121.22,44.6,90.0,2025
Siddipet,July,187.14,40.0,25.0,2024
Karimnagar,October,93.59,23.2,54.0,2019
Jogulamba Gadwal,December,5.59,26.2,77.0,2017
Adilabad,August,194.66,16.5,38.0,2021
Nalgonda,November,18.63,37.3,96.0,2016
Suryapet,January,2.76,25.4,40.0,2021
Mahabubabad,September,134.46,21.9,98.0,2016
Khammam,November,13.22,44.3,100.0,2019
Yadadri Bhuvanagiri,October,94.66,33.3,21.0,2016
Wanaparthy,October,91.81,24.8,42.0,2017
Mancherial,February,9.03,18.2,59.0,2019
Jagtial,November,19.48,22.7,27.0,2024
Mahabubabad,May,30.61,35.5,98.0,2016
Nalgonda,August,193.83,31.1,38.0,2020
Jogulamba Gadwal,May,33.26,43.3,44.0,2024
Khammam,June,118.25,26.1,57.0,2017
Vikarabad,August,188.75,33.1,56.0,2023
Hyderabad,December,3.5,34.7,98.0,2015
Siddipet,January,8.46,19.6,57.0,2019
Sangareddy,August,192.86,23.3,44.0,2025
Mancherial,April,14.6,38.3,24.0,2024
Mancherial,June,119.28,32.4,32.0,2024
Karimnagar,July,191.78,30.5,86.0,2020
Sangareddy,August,191.25,37.5,86.0,2018
Vikarabad,November,16.33,36.2,30.0,2017
Kamareddy,August,191.09,31.0,61.0,2025
Kumurambheem Asifabad,March,14.13,18.5,64.0,2020
Hanamkonda,February,8.56,42.9,70.0,2019
Suryapet,November,14.55,22.8,44.0,2020
Nalgonda,August,192.64,38.4,100.0,2023
Jogulamba Gadwal,May,32.37,42.9,76.0,2017
Hanamkonda,June,118.92,44.6,57.0,2025
Rangareddy,November,14.42,26.9,27.0,2018
Rajanna Sircilla,June,119.66,20.4,40.0,2025
Nirmal,July,192.22,33.5,69.0,2018
Kumurambheem Asifabad,December,2.77,24.9,84.0,2019
Peddapalli,October,89.4,28.8,70.0,2017
Hyderabad,March,13.01,33.1,74.0,2023
Nalgonda,September,134.63,23.5,58.0,2016
Rajanna Sircilla,November,19.31,25.5,99.0,2023
Suryapet,June,118.59,27.9,34.0,2020
Sangareddy,August,189.01,33.7,29.0,2021
Wanaparthy,March,16.55,30.9,55.0,2023
Nagarkurnool,July,196.69,15.1,92.0,2021
Mahabubabad,May,30.41,22.2,74.0,2021
Hanamkonda,August,190.52,26.3,82.0,2015
Jogulamba Gadwal,December,5.7,23.2,22.0,2017
Hanamkonda,November,20.82,43.1,72.0,2020
Yadadri Bhuvanagiri,April,19.67,23.8,44.0,2016
Hyderabad,October,90.19,32.0,20.0,2023
Rangareddy,June,117.94,29.7,37.0,2015
Nirmal,August,191.11,21.3,90.0,2023
Adilabad,May,30.68,20.2,85.0,2018
Nagarkurnool,January,9.21,25.3,45.0,2025
Jagtial,November,20.27,39.5,49.0,2025
Khammam,January,8.93,40.2,49.0,2020
Peddapalli,June,119.19,25.3,75.0,2019
Nirmal,October,92.52,37.9,41.0,2025
Nagarkurnool,January,10.7,21.3,31.0,2020
Rangareddy,June,122.01,22.3,91.0,2017
Jogulamba Gadwal,August,192.09,31.6,79.0,2025
Medak,September,139.49,24.4,61.0,2018
Nirmal,September,137.28,27.4,27.0,2021
Hanamkonda,December,2.92,23.0,97.0,2018
Jogulamba Gadwal,April,20.91,19.6,79.0,2025
Suryapet,February,8.74,19.7,20.0,2016
Kamareddy,May,28.87,40.8,88.0,2016
Kumurambheem Asifabad,February,7.95,24.4,29.0,2022
Suryapet,July,197.17,33.8,60.0,2025
Siddipet,February,6.94,31.2,51.0,2018
Mahabubnagar,September,137.81,44.4,40.0,2017
Hanamkonda,January,10.4,20.3,85.0,2017
Hanamkonda,December,3.94,39.2,44.0,2016
Nirmal,June,122.46,28.1,79.0,2022
Hanamkonda,May,30.66,42.8,95.0,2015
Mahabubnagar,February,4.96,44.9,50.0,2021
Suryapet,May,29.25,37.1,46.0,2025
Rangareddy,February,4.16,27.1,57.0,2017
Hyderabad,November,19.32,22.3,95.0,2019
Jogulamba Gadwal,March,15.46,16.0,83.0,2018
Suryapet,September,135.82,34.4,79.0,2019
Khammam,June,120.72,34.0,46.0,2022
Mulugu,April,20.52,22.5,33.0,2025
Hanamkonda,December,2.53,24.8,24.0,2017
Hyderabad,December,6.53,42.7,62.0,2015
Kamareddy,May,28.58,41.5,97.0,2015
Mahabubnagar,August,191.61,44.2,33.0,2024
Medak,August,190.6,24.7,62.0,2019
Karimnagar,May,29.21,40.1,89.0,2022
Adilabad,January,5.79,35.3,80.0,2020
Vikarabad,April,19.57,34.8,38.0,2019
Sangareddy,November,17.66,23.5,35.0,2020
Nizamabad,December,5.52,17.4,87.0,2016
Karimnagar,November,19.77,23.6,52.0,2019
Nirmal,February,8.74,20.7,34.0,2024
Rangareddy,January,10.84,25.5,42.0,2021
Karimnagar,December,4.37,24.7,99.0,2023
Nirmal,February,7.51,16.0,79.0,2016
Peddapalli,July,190.09,19.8,83.0,2024
Medak,March,13.19,22.5,84.0,2015
Mancherial,July,190.39,34.3,93.0,2022
Mahabubnagar,October,94.06,24.1,92.0,2025
Karimnagar,November,19.6,41.5,51.0,2019
Medak,June,117.59,43.4,61.0,2022
Mahabubabad,August,192.5,40.9,83.0,2024
Peddapalli,July,190.73,17.5,84.0,2018
Jagtial,June,118.71,40.9,97.0,2024
Hyderabad,February,7.1,38.9,99.0,2024
Suryapet,May,32.75,29.2,87.0,2019
Medak,April,16.25,32.6,25.0,2025
Mancherial,March,14.49,25.9,57.0,2019
Nizamabad,November,17.92,37.4,60.0,2022
Sangareddy,September,138.44,29.8,39.0,2015
Hanamkonda,March,12.08,17.5,75.0,2019
Vikarabad,May,32.82,29.1,75.0,2023
Khammam,February,5.22,32.1,60.0,2023
Karimnagar,June,121.44,28.5,38.0,2017
Hyderabad,October,92.93,39.6,59.0,2021
Nalgonda,March,15.02,43.7,92.0,2023
Kamareddy,August,191.49,17.5,80.0,2017
Jagtial,December,6.28,36.8,42.0,2017
Jagtial,September,140.06,19.1,75.0,2021
Wanaparthy,June,119.89,28.8,62.0,2024
Karimnagar,October,93.52,43.4,79.0,2020
Vikarabad,October,88.62,38.2,30.0,2025
Mancherial,July,190.64,19.9,72.0,2021
Yadadri Bhuvanagiri,February,6.72,27.0,66.0,2020
Kumurambheem Asifabad,October,91.69,38.2,43.0,2022
Mulugu,December,4.5,23.6,28.0,2016
Mahabubabad,April,17.93,40.3,80.0,2024
Rajanna Sircilla,May,28.77,23.1,87.0,2015
Peddapalli,July,193.19,31.8,22.0,2023
Jogulamba Gadwal,October,91.57,26.8,81.0,2018
Wanaparthy,May,32.55,18.3,58.0,2015
Khammam,February,5.57,38.5,85.0,2018
Siddipet,January,11.63,32.1,39.0,2017
Nirmal,May,30.15,33.0,94.0,2021
Adilabad,January,10.05,43.5,67.0,2022
Suryapet,September,137.71,20.3,31.0,2020
Karimnagar,November,16.11,19.0,54.0,2023
Medak,February,4.74,16.2,68.0,2021
Sangareddy,July,193.66,20.4,59.0,2021
Nizamabad,November,16.0,25.0,68.0,2015
Wanaparthy,November,18.13,42.1,100.0,2022
Nalgonda,November,19.28,16.3,52.0,2022
Mancherial,December,6.24,30.1,81.0,2023
Nagarkurnool,November,19.55,41.5,89.0,2015
Rangareddy,July,192.37,28.2,65.0,2024
Rangareddy,August,192.34,31.9,80.0,2025
Rangareddy,March,11.69,44.1,32.0,2025
Jogulamba Gadwal,April,15.24,38.5,46.0,2025
Adilabad,January,3.22,19.9,65.0,2017
Kumurambheem Asifabad,May,28.62,27.5,59.0,2024
Vikarabad,April,17.53,26.5,86.0,2015
Nagarkurnool,May,32.03,20.1,100.0,2020
Wanaparthy,September,137.09,41.1,98.0,2015
Suryapet,November,22.66,19.8,32.0,2025
Hanamkonda,January,13.29,34.1,97.0,2022
Kamareddy,March,12.63,43.9,33.0,2019
Mancherial,April,17.64,37.4,22.0,2018
Rajanna Sircilla,June,118.93,33.8,81.0,2015
Medak,February,9.22,32.3,22.0,2022
Sangareddy,August,190.1,39.4,82.0,2022
Wanaparthy,October,96.18,16.8,86.0,2015
Adilabad,December,7.08,35.8,40.0,2018
Vikarabad,July,191.32,21.5,88.0,2015
Peddapalli,October,92.39,20.2,27.0,2017
Hanamkonda,January,6.73,25.1,83.0,2017
Medak,July,190.75,31.1,90.0,2018
Mulugu,March,11.47,28.2,76.0,2018
Mahabubabad,October,91.49,24.9,97.0,2024
Mulugu,October,91.23,28.8,45.0,2020
Rangareddy,September,132.65,43.6,37.0,2018
Nagarkurnool,September,137.02,42.9,87.0,2020
Kamareddy,March,12.74,37.5,40.0,2016
Hyderabad,November,17.08,24.9,84.0,2025
Yadadri Bhuvanagiri,September,140.38,31.3,87.0,2023
Kamareddy,February,6.96,35.7,97.0,2018
Medak,September,135.76,22.9,86.0,2018
Hyderabad,November,19.88,31.2,54.0,2019
Jogulamba Gadwal,March,12.32,32.7,98.0,2015
Mulugu,September,136.85,21.1,68.0,2017
